"source","category_code","category_path","unmapped_products_count"
wolt,АНТИБАКТЕРИАЛЬНЫЕ СРЕДСТВА 🧫,АНТИБАКТЕРИАЛЬНЫЕ СРЕДСТВА 🧫,3755
wolt,"ТРАВЫ, СБОРЫ ","ТРАВЫ, СБОРЫ ",3711
wolt,УХОД ЗА ЛИЦОМ 🧴,УХОД ЗА ЛИЦОМ 🧴,3695
wolt,ГЛАЗНЫЕ ЗАБОЛЕВАНИЯ 👁,ГЛАЗНЫЕ ЗАБОЛЕВАНИЯ 👁,3692
wolt,ЗАБОЛЕВАНИЯ МОЧЕПОЛОВОЙ СИСТЕМЫ 🚽,ЗАБОЛЕВАНИЯ МОЧЕПОЛОВОЙ СИСТЕМЫ 🚽,3675
wolt,ПОСУДА🍽 / ПЛАСТИКОВАЯ ПОСУДА,ПОСУДА🍽 / ПЛАСТИКОВАЯ ПОСУДА,3556
wolt,НАПИТКИ 🥤 / Негазированная вода,НАПИТКИ 🥤 / Негазированная вода,3528
kaspi_food,Whisky,Whisky,3482
wolt,ВОДА 🧊,ВОДА 🧊,3459
wolt,Красота и гигиена / Аптека,Красота и гигиена / Аптека,3455
wolt,ВОДА И НАПИТКИ🥤 / Вода,ВОДА И НАПИТКИ🥤 / Вода,3437
wolt,СРЕДСТВА ОТ АЛЛЕРГИИ ,СРЕДСТВА ОТ АЛЛЕРГИИ ,3390
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ДЖИН,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ДЖИН,3353
kaspi_nonfood,Dishwashers,Dishwashers,3288
wolt,"МОЛОЧНЫЕ ПРОДУКТЫ🥛 / Молоко и сливки","МОЛОЧНЫЕ ПРОДУКТЫ🥛 / Молоко и сливки",3247
wolt,"МАСЛО, СОУСЫ И СПЕЦИИ 🌶 / Соус, кетчуп, томатная паста","МАСЛО, СОУСЫ И СПЕЦИИ 🌶 / Соус, кетчуп, томатная паста",3236
wolt,НАПИТКИ 🥤 / Лимонады,НАПИТКИ 🥤 / Лимонады,3232
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / НАСТОЙКИ,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / НАСТОЙКИ,3226
wolt,Дом и офис / Канцелярские принадлежности,Дом и офис / Канцелярские принадлежности,3219
wolt,"МАСЛО, СОУСЫ И СПЕЦИИ 🌶 / Приправы и специи","МАСЛО, СОУСЫ И СПЕЦИИ 🌶 / Приправы и специи",3197
wolt,МОЛОЧНЫЕ ПРОДУКТЫ 🥛 / Сырки,МОЛОЧНЫЕ ПРОДУКТЫ 🥛 / Сырки,3163
wolt,УХОД ДЛЯ ЛИЦА,УХОД ДЛЯ ЛИЦА,3128
kaspi_food,Instant noodles,Instant noodles,3060
wolt,ВОДА И НАПИТКИ / Вода,ВОДА И НАПИТКИ / Вода,3043
wolt,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Вибраторы для женщин,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Вибраторы для женщин,3000
